Date,Base_Rate,Nepse_Index,,,
8/17/2015,6.34%,1050.94737,,,
9/17/2015,7.60%,1181.90000,,,
10/17/2015,7.30%,1178.98105,,,
11/17/2015,7.22%,1136.91133,,,
12/17/2015,7.09%,1079.55526,,,
1/17/2016,6.69%,1116.76091,,,
2/17/2016,6.50%,1193.78050,,,
3/17/2016,6.34%,1266.52105,,,
4/17/2016,6.27%,1332.95316,,,
5/17/2016,6.35%,1415.06278,,,
6/17/2016,6.23%,1496.05636,,,
7/17/2016,6.44%,1614.57500,,,
8/17/2016,6.47%,1771.78200,,,
9/17/2016,6.41%,1751.96375,,,
10/17/2016,6.50%,1793.09150,,,
11/17/2016,6.89%,1783.78667,,,
12/17/2016,7.16%,1636.79421,,,
1/17/2017,7.39%,1506.96789,,,
2/17/2017,8.72%,1443.33818,,,
3/17/2017,9.71%,1331.70684,,,
4/17/2017,10.00%,1422.11263,,,
5/17/2017,10.77%,1667.95368,,,
6/17/2017,10.99%,1636.88944,,,
7/17/2017,11.27%,1584.19526,,,
8/17/2017,11.15%,1602.84909,,,
9/17/2017,10.77%,1632.59000,,,
10/17/2017,10.78%,1536.25071,,,
11/17/2017,10.75%,1539.57278,,,
12/17/2017,10.33%,1497.51318,,,
1/17/2018,10.74%,1489.49333,,,
2/17/2018,10.81%,1418.18421,,,
3/17/2018,11.60%,1388.73389,,,
4/17/2018,11.50%,1259.93778,,,
5/17/2018,9.71%,1307.89048,,,
6/17/2018,11.34%,1337.63857,,,
7/17/2018,11.12%,1233.55737,,,
8/17/2018,10.68%,1197.49348,,,
9/17/2018,10.64%,1185.53238,,,
10/17/2018,10.77%,1239.99526,,,
11/17/2018,10.77%,1231.78300,,,
12/17/2018,10.45%,1190.34737,,,
1/17/2019,9.33%,1163.54318,,,
2/17/2019,9.30%,1175.02087,,,
3/17/2019,9.34%,1122.32368,,,
4/17/2019,9.30%,1138.46579,,,
5/17/2019,9.36%,1223.58714,,,
6/17/2019,9.41%,1306.14905,,,
7/17/2019,9.48%,1268.56526,,,
8/17/2019,9.30%,1260.45304,,,
9/17/2019,9.33%,1226.30667,,,
10/17/2019,9.51%,1156.62909,,,
11/17/2019,9.52%,1141.25714,,,
12/17/2019,9.57%,1128.92050,,,
1/17/2020,9.62%,1150.58375,,,
2/17/2020,9.56%,1265.89045,,,
3/17/2020,9.58%,1408.34500,,,
4/17/2020,9.61%,1378.63214,,,
5/17/2020,8.84%,1213.86000,,,
6/17/2020,8.22%,1224.72500,,,
7/17/2020,7.70%,1384.56909,,,
8/17/2020,7.23%,1418.39095,,,
9/17/2020,6.98%,1537.99000,,,
10/17/2020,6.50%,1587.23111,,,
11/17/2020,6.50%,1749.02105,,,
12/17/2020,6.65%,2019.28217,,,
1/17/2021,6.65%,2306.52350,,,
2/17/2021,6.69%,2545.26450,,,
3/17/2021,6.66%,2491.65700,,,
4/17/2021,6.77%,2646.89421,,,
5/17/2021,7.10%,2728.56667,,,
6/17/2021,6.74%,2902.06682,,,
7/17/2021,6.84%,2932.70850,,,
8/17/2021,6.84%,3119.92750,,,
9/17/2021,6.89%,2824.94857,,,
10/17/2021,7.48%,2648.49941,,,
11/17/2021,9.26%,2746.01526,,,
12/17/2021,9.57%,2475.32300,,,
1/17/2022,9.44%,2808.19636,,,
2/17/2022,9.42%,2753.87263,,,
3/17/2022,9.45%,2591.33579,,,
4/17/2022,9.47%,2401.12000,,,
5/17/2022,9.39%,2293.90889,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
