Date,Base Rate
Mangshir 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">9.57%</td>"
Kartik 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">9.26%</td>"
Ashwin 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">7.48%(Average)</td>"
Bhadra 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">6.89%</td>"
Shrawan 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">6.84%</td>"
Ashad 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">6.84%</td>"
Jestha 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">6.74%</td>"
Baishak 2078,"<td height=""20"" style=""text-align: center;"" width=""64"">7.10%</td>"
Chaitra 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.77%</td>"
Falgun 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.66%</td>"
Magh 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.69%</td>"
Poush 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.65%</td>"
Mangsir 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.65%</td>"
Kartik 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">6.50%</td>"
Ashoj 2077,"<td height=""20"" style=""text-align: center;"">6.50%</td>"
Bhadra 2077,"<td height=""20"" style=""text-align: center;"">6.98%</td>"
Shrawan 2077,"<td height=""20"" style=""text-align: center;"" width=""64"">7.23%</td>"
Ashadh 2077,"<td height=""20"" style=""text-align: center;"">7.70%</td>"
Jestha 2077,"<td height=""20"" style=""text-align: center;"">8.22%</td>"
Baishakh 2077,"<td height=""20"" style=""text-align: center;"">8.84%</td>"
Chaitra 2076,"<td height=""20"" style=""text-align: center;"">9.61%</td>"
Falgun 2076,"<td height=""20"" style=""text-align: center;"">9.58%</td>"
Magh 2076,"<td height=""20"" style=""text-align: center;"">9.56%</td>"
Poush 2076,"<td height=""20"" style=""text-align: center;"">9.62%</td>"
Mangsir 2076,"<td height=""20"" style=""text-align: center;"">9.57%</td>"
Kartik 2076,"<td height=""20"" style=""text-align: center;"">9.52%</td>"
Ashoj 2076,"<td height=""20"" style=""text-align: center;"">9.51%</td>"
Bhadra 2076,"<td height=""20"" style=""text-align: center;"">9.33%</td>"
Shrawan 2076,"<td height=""20"" style=""text-align: center;"">9.30%</td>"
Ashadh 2076,"<td height=""20"" style=""text-align: center;"">9.48%</td>"
Jestha 2076,"<td height=""20"" style=""text-align: center;"">9.41%</td>"
Baishakh 2076,"<td height=""20"" style=""text-align: center;"">9.36%</td>"
Chaitra 2075,"<td height=""20"" style=""text-align: center;"">9.30%</td>"
Falgun 2075,"<td height=""20"" style=""text-align: center;"">9.34%</td>"
Magh 2075,"<td height=""20"" style=""text-align: center;"">9.30%</td>"
Poush 2075,"<td height=""20"" style=""text-align: center;"">9.33%</td>"
Mangsir 2075,"<td height=""20"" style=""text-align: center;"">10.45%</td>"
Kartik 2075,"<td height=""20"" style=""text-align: center;"">10.77%</td>"
Ashoj 2075,"<td height=""20"" style=""text-align: center;"">10.77%</td>"
Bhadra 2075,"<td height=""20"" style=""text-align: center;"">10.64%</td>"
Shrawan 2075,"<td height=""20"" style=""text-align: center;"">10.68%</td>"
Ashadh 2075,"<td height=""20"" style=""text-align: center;"">11.12%</td>"
Jestha 2075,"<td height=""20"" style=""text-align: center;"">11.34%</td>"
Baishakh 2075,"<td height=""20"" style=""text-align: center;"">9.71%</td>"
Chaitra 2074,"<td height=""20"" style=""text-align: center;"">11.50%</td>"
Falgun 2074,"<td height=""20"" style=""text-align: center;"">11.60%</td>"
Magh 2074,"<td height=""20"" style=""text-align: center;"">10.81%</td>"
Poush 2074,"<td height=""20"" style=""text-align: center;"">10.74%</td>"
Mangsir 2074,"<td height=""20"" style=""text-align: center;"">10.33%</td>"
Kartik 2074,"<td height=""20"" style=""text-align: center;"">10.75%</td>"
Ashoj 2074,"<td height=""20"" style=""text-align: center;"">10.78%</td>"
Bhadra 2074,"<td height=""20"" style=""text-align: center;"">10.77%</td>"
Shrawan 2074,"<td height=""20"" style=""text-align: center;"">11.15%</td>"
Ashadh 2074,"<td height=""20"" style=""text-align: center;"">11.27%</td>"
Jestha 2074,"<td height=""20"" style=""text-align: center;"">10.99%</td>"
Baishakh 2074,"<td height=""20"" style=""text-align: center;"">10.77%</td>"
Chaitra 2073,"<td height=""20"" style=""text-align: center;"">10.00%</td>"
Falgun 2073,"<td height=""20"" style=""text-align: center;"">9.71%</td>"
Magh 2073,"<td height=""20"" style=""text-align: center;"">8.72%</td>"
Poush 2073,"<td height=""20"" style=""text-align: center;"">7.39%</td>"
Mangsir 2073,"<td height=""20"" style=""text-align: center;"">7.16%</td>"
Kartik 2073,"<td height=""20"" style=""text-align: center;"">6.89%</td>"
Ashoj 2073,"<td height=""20"" style=""text-align: center;"">6.50%</td>"
